구분ID,식당명,이미지,지역,업종,소개,전화번호,주소,찾아가는길,홈페이지
1,바다횟집,https://img.siksinhot.com/place/1502246475448116.jpg?w=560&h=448&c=Y,강원> 삼척/장호항,한국음식 > 회,20년간 같은 자리를 지켜온 오래된 전통 맛집입니다. 저렴한 가격에 푸짐한 곰칫국 한 상을 받아볼 수 있습니다. 물컹한 식감이 특징인 곰치와 칼칼한 육수의 조화가 깔끔한 맛을 선사합니다.,033-574-3543,강원도 삼척시 새천년도로 89-1,해양경찰서 삼척파출소 인근,
1,초당할머니순두부,https://img.siksinhot.com/place/1595485085658511.jpg?w=560&h=448&c=Y,강원> 강릉시-경포/안목카페거리,한국음식 > 순두부,"'초당 할머니 순두부'는 강릉 초당 순두부 마을의 여러 가게 중에서도 오래전부터 자리를 지키고 있는 곳으로 옛날 방식을 따라 직접 손으로 초당 순두부를 만들며 2대째 전통을 이어오는 곳입니다. 가장 좋은 재료로 꾸준히 새벽마다 전통재래식 방법으로 직접 두부를 만들기 때문에 훨씬 고소하고 부드러운 맛이 나서 많은 손님의 극찬이 이어지고 있는 곳이기도 합니다. 대를 이어서 영업을 하고 있어 더욱 맛집으로 이름이 나 있으며 국내뿐만 아니라 해외까지 알려진 진정한 맛집입니다. 초당 순두부, 얼큰째복순두부, 모두부 등의 메뉴를 제공하고 있으며 고소한 순두부의 맛을 느낄 수 있는 순두부백반과 부드러운 모두부의 인기가 좋습니다.",033-652-2058,강원도 강릉시 초당순두부길 77,강릉고등학교 인근에 위치,
1,빵공장라뜰리에김가,https://img.siksinhot.com/place/1540271528719289.jpg?w=560&h=448&c=Y,강원> 원주시,세계음식 > 베이커리/제과점,원주 행구 수변공원 인근에 위치한 ‘라뜰리에김가’입니다. 매장 들어서는 입구에 자리 잡은 분수대와 곳곳에 놓인 이국적인 소품들이 유럽 속 정원에 온 듯한 분위기입니다. 대표 메뉴 ‘천사의 달걀’은 카스텔라 빵 속에 생크림을 듬뿍 넣고 과일과 초콜릿을 이용하여 천사 모양 장식으로 마무리되는 메뉴입니다. 부드럽고 달달한 생크림과 입에서 사르르 녹는 폭신한 카스텔라의 조화가 매력적입니다. 쫀득하면서도 촉촉한 식감과 코코넛의 향긋한 풍미가 어우러진 ‘코코 팡야’도 인기 메뉴입니다.,033-735-5677,강원도 원주시 행구로 314,행구 수변공원 인근,
1,장안횟집,https://img.siksinhot.com/place/1464078791898400.png?w=560&h=448&c=Y,강원> 강릉시,한국음식 > 회,"사천한 부근에 있는 넓은 규모의 물회 전문점입니다.  오징어, 물가자미 물회가 인기이며, 신선한 회를 빨간 양념에 먹는 물회와 고소한 우럭미역국이 유명합니다. 특히 물회 국물에 소면을 넣어 먹는 것이 별미입니다. ",033-644-1136,,강원 강릉 사천진항에서 100m지점에 있는 사천진리경로당 근처에 위치 ,
1,칡산에,https://img.siksinhot.com/place/1385014437151528.jpg?w=560&h=448&c=Y,강원> 원주시,한국음식 > 족발/보쌈,다양한 정식을 판매하는 향토 음식점입니다. 곤드레 보쌈 정식을 시키면 보쌈을 비롯하여 깔끔한 밑반찬들이 한 상 푸짐하게 차려져 나옵니다. 간장게장까지 나오는 이 정식은 된장찌개와 곤드레밥의 맛도 일품입니다.,033-742-0210,강원도 원주시 금불4길 25-5,원주 축산농협(단계지점) 근처에 위치,
1,양지말 화로구이,https://img.siksinhot.com/place/1548652183856172.jpg?w=560&h=448&c=Y,강원> 홍천군,한국음식 > 한정식,"강원도 홍천군에 위치한 '양지말 화로구이'입니다. 30여년째 운영중인 화로구이 전문점으로 1층과 2층에 넉넉하게 자리가 마련되어 있어 단체로 방문하기 좋은 곳입니다. 홍천의 명물로 불리는 숯불에 구워 먹는 '고추장 화로구이'가 대표메뉴입니다. 15가지의 각종 야채를 갈아 고추장과 재래식된장, 토종벌꿀을 적당한 비율로 섞어 충분히 재워 만든 고추장 양념 맛이 특히 일품입니다. 입안 가득 퍼지는 쌉싸름한 향과 아삭한 식감이 특징인 '양송이 더덕구이'도 인기메뉴이며, 후식으로 준비되어 있는 메밀커피도 별미입니다.",033-435-7533,강원도 홍천군 홍천읍 양지말길 17-4,상홍천휴게소 인근에 위치,
1,동명항생선숯불구이,https://img.siksinhot.com/place/1464154639913766.png?w=560&h=448&c=Y,강원> 속초,한국음식 > 해물탕/해물요리/꽃게,"2대째 40년 간 전통을 이어온 곳입니다. 신선한고 질좋은 생선을 선별하여 사용하며 제철생선 생물만을 손님들에게 권합니다. 삼치, 연어, 가자미 등 계절별 싱싱한 생선을 숯불에 구워 내오는 생선구이정식이 대표 메뉴입니다.",033-632-3376,,영랑호 리조트 들어오는 초입부분 좌측.,
1,송정해변막국수,https://img.siksinhot.com/place/1464079334060463.png?w=560&h=448&c=Y,강원> 강릉시-경포/안목카페거리,한국음식 > 라면/칼국수/국수/수제비,송정해수욕장에 위치한 막국수 전문점입니다. 시원한 막국수와 매콤한 비빔막국수가 인기 있습니다. 김치가 들어간 고소한 메밀전과 매콤한 도토리묵도 있습니다. 故정주영 현대회장이 자주 들렸던 메밀 막국수집입니다.,033-652-2611,강원도 강릉시 창해로 267,"송정해변, 송정해변 브랜드뉴2단지 근처에 위치",
1,단천식당,https://img.siksinhot.com/place/1575872952550574.jpg?w=560&h=448&c=Y,강원> 속초,한국음식 > 떡볶이/순대/튀김/만두,속초 아바이 마을에 위치한 '단천순대'. 3대가 이어온 노포로 아바이 순대를 넣은 순대 국밥과 가자미 회냉면으로 유명한 곳입니다. 푸짐한 모듬 순대는 아바이 순대뿐만 아니라 고소한 오징어순대를 명태회와 곁들여 먹으면 됩니다. 시원한 육수에 쫄깃한 면발이 맛있는 가자미 회냉면 또한 인기 메뉴입니다.,033-632-7828,강원도 속초시 아바이마을길 17,08:00 ~ 20:30 OPEN,
1,감나무집감자옹심이,https://img.siksinhot.com/place/1464080365764582.png?w=560&h=448&c=Y,강원> 속초,한국음식 > 한정식,감나무집 감자옹심이'는 생감자를 갈아만든 강원도 향토음식 감자옹심이로 유명한 30년 전통의 한식당입니다. 여러 매체를 통해 소개된 적이 있을 정도로 유명한 맛집이며 블루리본서베이에 연속 등재된 검증된 맛집입니다. 순수한 국내산 식재료와 강원도 토종감자만을 사용하여 신선하고 건강한 맛이 납니다. 쫄깃한 맛이 일품인 감자옹심이가 대표메뉴이며 2인 이상부터 주문이 가능합니다. 위생상의 문제로 포장은 되지 않습니다.,033-633-2306,강원도 속초시 중앙시장로 110-8,강원 속초관광수산시장 중앙시장입구삼거리 부근에 위치 ,
1,황태회관,https://img.siksinhot.com/place/1464078837032403.png?w=560&h=448&c=Y,강원> 평창,한국음식 > 한정식,"구이, 찜, 전골, 해장국 등 다양한 황태 요리를 준비하고 있는 황태요리 전문점 입니다. 매콤달콤한 대관령 황태구이가 특히 인기가 좋습니다. 질기지 않게 촉촉하게 구워서 먹기 편하고 부드러운 식감을 자랑합니다.",033-335-5795,강원도 평창군 대관령면 눈마을길 19,횡계 용평스키장 입구에 위치,
1,테라로사 커피공장,https://img.siksinhot.com/place/1352166590405455.JPG?w=560&h=448&c=Y,강원> 강릉시,세계음식 > 카페/커피숍,이윤선 컵퍼가 전세계 산지에서 직거래한 생두를 사용하는 핸드드립 커피와 아침에 직접 구워 정해진 양만 파는 빵이 인기 있습니다. 이국적인 느낌의 건물로 한적한 시골에서 산지별 핸드드립 커피를 맛볼 수 있는 카페입니다. ,033-648-2760,강원도 강릉시 현천길 25 ,강릉 어단농장에서 현촌교를 지나 230m지점 위치 ,
1,봉브레드,https://img.siksinhot.com/place/1540431800950451.jpg?w=560&h=448&c=Y,강원> 속초,세계음식 > 베이커리/제과점,"속초에서 소문난 유명 수제 빵집으로 전체적으로 빵들의 맛과 퀄리티 좋아 이른시간에도 다 팔린 빵들이 많이 보이는 곳입니다. 특히 지역 찹쌀과 국내산 마늘을 사용하여 바게트 사이 사이에 마늘 소스를 발라 부드럽고 촉촉한 식감의 마늘바게트와 48시간 저온 숙성으로 만들어 부드럽고 빵속에 블루베리, 모카, 생크림이 가득 들어간 연인의 빵이 인기메뉴입니다. 마늘바게트와 연인의 빵은 한정 판매되어 일찍 품절될 수 있습니다.",033-633-4826,강원도 속초시 동해대로 4344-1,교동삼환아파트 근처에 위치,
1,원조숯불닭불고기,https://img.siksinhot.com/place/1569570955292017.jpg?w=560&h=448&c=Y,강원> 춘천시,한국음식 > 닭볶음탕/닭갈비/닭발,"1961년부터 지금까지 59년의 전통을 이어오고 있는 ‘원조숯불닭불고기’. 매콤한 닭갈비와 오돌뼈 닭갈비, 닭 내장 구이, 닭똥집 구이 등 닭의 여러 부위로 다양한 음식을 선보입니다. 대표 메뉴 ‘닭갈비’는 닭의 다리 살과 허벅지살로만 이루어진 ‘뼈 없는 닭갈비’와 닭 다리 살에 가슴살이 포함된 ‘뼈 있는 닭갈비’ 두 종류가 준비되어 있습니다. 불그스름한 양념 옷을 입은 닭갈비는 숯불 위에서 자주 뒤집어가며 구워 주면 됩니다. 야들야들한 살점을 자랑하는 닭고기는 은근하게 스며들어 있는 숯불 향이 풍미를 한층 살려줍니다. 집 된장으로 맛을 낸 국물에 호박, 두부, 고추를 넣어 구수하면서도 칼칼한 맛을 살린 ‘된장찌개’도 식사 메뉴로 즐겨 찾습니다.",033-257-5326,강원도 춘천시 낙원길 28-4,10:30 ~ 21:00 OPEN,
1,김영애할머니순두부 본점,https://img.siksinhot.com/place/1464079059888430.png?w=560&h=448&c=Y,강원> 속초,한국음식 > 순두부,"1965년에 개업한 학사평 순두부 전문점입니다. 국내산 콩을 재료로 바닷물을 사용하여 두부를 만들어 고소한 두부의 맛을 그대로 느낄 수 있습니다. 순두부 정식이 대표 메뉴이며, 다양한 두부 요리를 즐길 수 있습니다.",033-635-9520,강원도 속초시 원암학사평길 183,"미시령 고개 넘어서 속초시내 방면으로 직진, 좌측 학사평 순두부 마을에 위치",
1,만남의식당,https://img.siksinhot.com/place/1545799789422016.jpg?w=560&h=448&c=Y,강원> 삼척/장호항,한국음식 > 해물탕/해물요리/꽃게,"삼척항 근처에 위치한 곰치국 전문점입니다. 곰치로 유명한 삼척에 늘어선 곰치국 가게 중 유명한 집입니다. 메뉴는 곰치해장국, 대구해장국, 생태탕 세 가지입니다. 대표메뉴인 곰치국은 곰치와 묵은 김치를 같이 얼큰하게 끓여낸 것으로 뜨끈한 국물과 부드럽고 뽀얀 속살이 속풀이에 안성맞춤입니다. 물메기가 아닌 100% 곰치만을 판매하며 곰치가 없을 경우 판매하지 않으므로 사전에 확인하고 방문하는 것이 좋습니다.",033-574-1645,강원도 삼척시 새천년도로 84,삼척항 근처에 위치,
1,심순녀 안흥찐빵,https://img.siksinhot.com/place/1544069083167035.jpg?w=560&h=448&c=Y,강원> 횡성군,한국음식 > 그밖에또다른것,"1968년에 개업한 '심순녀 안흥찐빵'은 전통방식으로 찐빵을 만드는 곳으로, 안흥이 찐빵으로 유명해진 건 바로 이 심순녀 할머니 때문이라고 해도 과언이 아닙니다. 세월을 고스란히 보여주는 낡은 외관에서부터 장인 정신이 느껴지는 곳입니다. 인위적인 팥 맛이 아닌 팥의 고유한 맛이 그대로 느껴지는 것이 특징이며, 팥 이외의 조미료는 전혀 쓰지 않은 듯한 자연스러운 단 맛이 느껴집니다. 20개/ 25개/ 40개/ 50개씩 포장된 박스 단위로 사 가는 사람들이 대부분이며, 택배 주문도 가능합니다.",033-342-4460,강원도 횡성군 안흥면 서동로 1029,안흥터널과 안흥고등학교 사이에 위치,
1,형제칼국수,https://img.siksinhot.com/place/1571894789677120.jpg?w=560&h=448&c=Y,강원> 강릉시,한국음식 > 라면/칼국수/국수/수제비,강릉 교동에 위치한 '형제칼국수'. 매체에서도 여러번 소개된 맛집으로 외관부터 노포의 포스를 풍기는 곳입니다. 메뉴는 장칼국수 단 하나로 하얀 칼국수부터 아주 매운맛까지 5단계의 매운맛을 입맛에 맞게 골라 주문하면 됩니다. 달걀 풀린 걸쭉하고 진한 국물에 널찍한 모양새의 쫀득한 칼국수를 들이키면 보양식을 먹은 듯 땀이 주륵 흐릅니다. 재료 소진 시 조기 마감하며 항상 웨이팅이 있으므로 참고 바랍니다.,033-647-1358,강원도 강릉시 교2동 162-94,교동사거리 근처에 위치,
1,차현희순두부청국장,https://img.siksinhot.com/place/1464152843076652.png?w=560&h=448&c=Y,강원> 강릉시-경포/안목카페거리,한국음식 > 순두부,생선구이를 비롯해 10여 가지 반찬이 곁들여지는 맑고 깔끔한 느낌의 순두부찌개 전문점입니다. 손님들이 육안으로 볼 수 있는 곳에서 직접 두부를 만들어 사용합니다. 순두부 전골 등 담백하고 다양한 요리를 맛볼 수 있습니다. ,033-653-0811,,강원 강릉시 초당동 주민센터 90m부근에 위치 (초당순두부마을 내에 위치),
1,기사문,https://img.siksinhot.com/place/1464080426003589.png?w=560&h=448&c=Y,강원> 강릉시,한국음식 > 회,건물 외관과 내부가 횟집이 아니라 카페나 모던한 고급 경양식집 같은 씨푸드 레스토랑입니다. 고급 식재료를 이용하여 신선함은 물론이고 맛도 일품인 곳입니다.  단품과 코스요리로 나뉘며 코스요리는 1년 내내 제철 생선으로 생선회 코스가 이루어집니다. 코스요리를 즐기고 싶다면 반드시 예약을 하고 가는것이 좋습니다.,033-646-9077,강원도 강릉시 정원로 78-22,18:00 ~ 21:30 CLOSE,
2,본수원갈비,https://img.siksinhot.com/place/1462848327742756.png?w=560&h=448&c=Y,경기> 수원-인계동/팔달문,한국음식 > 불고기/갈비살/차돌박이,"신선한 재료로 맛을 사로잡은 전통 숯불 한우갈비 전문점입니다. 대표 메뉴로는 소생갈비와 소양념갈비가 있고, 고기를 주문하면 새송이버섯, 마늘 등의 구이용 재료와 양념게장 등의 반찬이 함께 나옵니다. ",031-211-8434,경기도 수원시 팔달구 중부대로223번길 41,"우만2동주민센터 200m 부근, 호텔캐슬 뒤편 선경아파트 103동 옆 건물에 위치",
2,일산칼국수본점,https://img.siksinhot.com/place/1462847116982685.png?w=560&h=448&c=Y,경기> 일산-정발산/장항동,한국음식 > 라면/칼국수/국수/수제비,"일산 정발산동 풍산역 근처에 위치한 칼국수 전문점입니다. 일산에 방문했다면 가장 먼저 먹어봐야 할 음식으로 항상 줄 서서 먹는 맛집입니다. 시원하고 진한 닭 육수 국물에 부드러운 닭 가슴살과 바지락을 쫄깃한 면과 함께 즐기는 '칼국수'가 메인 메뉴입니다. 식당에서 직접 담그는 칼칼하고 시원한 겉절이도 인기 만점입니다. 다른 곳과 달리 포장만 가능, 배달은 불가능하며 평일 초저녁 시간대에 방문하면 웨이팅하지 않고 식사할 수 있습니다.",031-903-2208,경기도 고양시 일산동구 경의로 467,풍산역 1번출구 도보 5분 이내에 위치,
2,진미통닭,https://img.siksinhot.com/place/1538712826985049.jpg?w=560&h=448&c=Y,경기> 수원-행궁동,한국음식 > 치킨/훈제,1982년 문을 연 ‘진미통닭’은 수원 통닭 거리의 터줏대감으로 불리는 곳입니다. 개방형 부엌으로 치킨이 튀겨지는 모습을 계속 볼 수 있습니다. 인근 주민 뿐 아니라 멀리서 찾아오는 손님들로 오픈 시간부터 1층과 2층 모두 북적거립니다. 대표 메뉴는 전통 방식 그대로 가마솥에서 튀겨낸 ‘후라이드’입니다. 묵직하고 바스락 거리는 느낌의 튀김 옷과 담백한 속살을 즐길 수 있습니다. 후라이드 주문 시 쫄깃한 식감이 매력적인 닭 모래집도 함께 제공됩니다.  후라이드를 달짝지근한 양념에 버무린 ‘양념통닭’도 인기 메뉴라고 합니다. ,031-255-3401,경기도 수원시 팔달구 정조로800번길 21,팔달문로터리에서 북문방향 2번째신호등 세븐일레븐 편의점,
2,평양면옥,https://img.siksinhot.com/place/1484195945399351.jpg?w=560&h=448&c=Y,경기> 의정부시,한국음식 > 냉면,"의정부동에 위치한 서울 대표 평양냉면집의 모태가 되는 '평양면옥'. 장충동 평양면옥, 필동면옥, 서북면옥의 원조격으로 메밀을 사용해 뽑아낸 면에 시원한 육수를 부어 고춧가루를 뿌려 내는 물냉면이 대표 메뉴입니다. 직접 빚은 커다란 손 만두와 돼지고기 수육에 매콤한 양념장을 곁들여 먹는 제육도 인기 메뉴로 냉면과 함께 주문하는 손님이 많습니다.",031-877-2282,경기도 의정부시 평화로439번길 7,범골역 1번출구 도보 10분 이내에 위치/의정부역 7번출구 도보 11분 이내에 위치/회룡역 2번출구 도보 12분 이내에 위치/발곡역 1번출구 도보 13분 이내에 위치,
2,홍원막국수,https://img.siksinhot.com/place/1594097474792002.jpg?w=560&h=448&c=Y,경기> 여주군,한국음식 > 라면/칼국수/국수/수제비,"여주 천서리 막국수 골목에서 3대에 걸쳐 90년이 넘는 역사를 써내려 오고 있는 ‘홍원막국수’. 매장 바로 앞에 별관을 따로 운영할 정도로 식사 시간 상관없이 많은 인기를 끌고 있습니다. 대표 메뉴 ‘비빔 막국수’는 단단하게 똬리를 튼 메밀 면 위로 양념장, 오이, 달걀, 김 가루를 차곡차곡 쌓아 제공합니다. 메밀가루와 고구마 전분을 8:2 비율로 섞은 반죽으로 뽑은 면발은 부드러우면서도 쫄깃한 식감을 동시에 느낄 수 있습니다. 매콤달콤한 양념장과 구수한 메밀면의 조합이 돋보이는 막국수는 반 정도 먹은 뒤 시원한 육수를 부어 자작하게 먹는 방법도 인기입니다. 24시간 이상 끓인 사골에 다시마, 무로 깊은 맛을 살린 육수가 막국수의 감칠맛을 한껏 살려줍니다.",031-882-8259,경기도 여주시 대신면 천서리길 12,천서사거리에서 근처에 위치,
2,곰이네 고래빵,https://img.siksinhot.com/place/1536736521300065.jpg?w=560&h=448&c=Y,경기> 안양-범계/평촌,세계음식 > 베이커리/제과점,"용현제과라고도 불리우는 '9o le pain'입니다. 유기농 밀가루, 호밀, 통밀 등 질 좋은 원재료로 빵을 만드는 곳입니다. 1인 2개 한정인 크로아상 마망부터 고래 버터 브레드, 치즈 고래빵 등 수많은 인기 메뉴가 있습니다. 임산부는 웨이팅 없이 구매가 가능합니다. 이른 시간 구매시 갓 나온 빵과 차를 무료로 대접 받을 수 있습니다. 오픈부터 줄 서서 빵을 사가는 곳으로 빵 소진시 마감하며 임시 휴무할 수 있으므로 인스타그램을 참고하는 것이 좋습니다.",031-423-1625,경기도 안양시 동안구 동편로49번길 19,09:00 ~ 18:00 OPEN,
2,낙선재,https://img.siksinhot.com/place/1487811832738061.jpg?w=560&h=448&c=Y,경기> 광주-남한산성,한국음식 > 한정식,"운현궁을 본따 만든 한식당입니다. 넓은 마당에 정자와 솟대가 있고, 꽃과 나무로 꾸민 정원과 실개천이 흐르도록 조성하였습니다. 영양 오곡죽을 곁들여 내는 닭백숙과 불고기, 손두부, 조기, 단호박 등으로 구성된 한정식이 인기 메뉴입니다. 간장게장과 손두부, 도토리묵은 포장 판매도 가능합니다. ",031-746-3800,경기도 광주시 남한산성면 불당길 101,불당리마을회관에서 680m 부근 ,
2,홍박사생고기본관,https://img.siksinhot.com/place/1462850212011849.png?w=560&h=448&c=Y,경기> 분당-야탑/이매,한국음식 > 꽃등심/등심/육회,"분당에서 유명한 숯불 한우 구이집입니다. 매주 수요일과 금요일은 매장에서 고기를 들여오는 날이라 좀더 신선한 고기를 맛볼 수 있습니다. 생갈비와 생등심외에 육회처럼 먹는 생고기 메뉴도 인기가 있습니다. 숯불 한우 갈비, 갈비살이 한우의 품질이 아주 좋으며 가격도 합리적입니다. 꽃등심 갈비살 생드임이 인기가 많습니다. 예약은 6인 이상 가능합니다.",031-703-0778,경기도 성남시 분당구 양현로 447,야탑중학교 맞은편,
2,올라 백운호수점,https://img.siksinhot.com/place/1457950564367615.jpg?w=560&h=448&c=Y,경기> 의왕/백운호수,세계음식 > 이태리레스토랑,"피자 도우용 반죽을 그릇 위에 덮어서 구워낸 크림 스파게티, 'C-쿠치나'와 한우로 만든 안심 스테이크가 인기있는 레스토랑입니다. 백운호수 주변에서 1호점이 시작되었고 이곳은 2호점입니다. 새로 지은 건물이라 인기가 더 많습니다. 지금은 여의도와 판교 반포 등에 7-8개의 지점을 가지고 있으며 각 지역마다 손님이 붐빕니다. 이곳은 음식도 좋지만 테라스에서 백운호수를 바라다보는 전경이 정말 좋습니다. 파스타는 즉석에서 반죽한 생면을 사용하고 주변 텃밭을 이용해 허브나 토마토 등 각종채소를 직접 재배하여 사용하여 신선합니다. 올라뽀르노도 인기 메뉴 입니다. 파스타 종류가 가장 인기가 높습니다.",031-426-1008,경기도 의왕시 의일로 25,경기도 의왕시 학의동마을회관 300M 부근,
